股票代码,股票名称,主题标签,主题评分,备注
601138,工业富联,AI算力/服务器/液冷/机器人,96,AI服务器与算力产业链核心主板标的
002463,沪电股份,AI算力/PCB/通信技术,94,高速PCB与AI服务器链相关
002938,鹏鼎控股,AI算力/PCB/商业航天/通信技术,90,PCB与通信链条
603920,世运电路,PCB/商业航天/机器人/低空经济,88,PCB叠加商业航天和机器人概念
001309,德明利,存储芯片/半导体/AI终端,92,存储芯片主线相关
601869,长飞光纤,AI算力/光通信/光纤,90,光通信与算力网络相关
603083,剑桥科技,AI算力/CPO/光通信,90,光模块与通信设备相关
600105,永鼎股份,AI算力/CPO/光通信/数据中心,86,通信与数据中心链条
002384,东山精密,AI算力/PCB/光通信/消费电子,89,PCB和光通信模块相关
601231,环旭电子,AI终端/半导体/光通信/消费电子,84,AI终端与电子制造相关
600118,中国卫星,商业航天/卫星互联网/北斗/军工,92,商业航天与卫星互联网方向
002465,海格通信,商业航天/卫星互联网/北斗/通信技术,88,卫星互联网与通信技术方向
002402,和而泰,商业航天/机器人/半导体/AI应用,84,控制器与通信、机器人概念
603308,应流股份,商业航天/军工/高端装备/机器人,86,高端装备与航天零部件相关
603119,浙江荣泰,人形机器人/汽车零部件,82,机器人与汽车零部件方向
002222,福晶科技,光学光电子/激光雷达/量子科技,82,光学器件与新技术方向
000534,万泽股份,低空经济/大飞机/军工,80,低空经济和大飞机方向
002756,永兴材料,锂矿/航天航空/核能核电,76,非核心主线，保留为资源和航天概念观察
